Country,Code,Social Progress Index,Basic Human Needs,Foundations of Wellbeing,Opportunity,Nutrition and Basic Medical Care,Water and Sanitation,Shelter,Personal Safety,Access to Basic Knowledge,Access to Information and communications,Health and Wellness,Environmental Quality,Personal Rights,Personal Freedom and Choice,Inclusiveness,Access to Advanced Education,Undernourishment (% of pop.),"Maternal mortality rate (deaths/100,000 live births)","Child mortality rate (deaths/1,000 live births)",Child stunting (% of children),"Deaths from infectious diseases (deaths/100,000)",Access to at least basic drinking water (% of pop.),Access to piped water (% of pop.),Access to at least basic sanitation facilities (% of pop.),Rural open defecation (% of pop.),Access to electricity (% of pop.),Quality of electricity supply (1=low; 7=high),"Household air pollution attributable deaths (deaths/100,000)","Homicide rate (deaths/100,000)",Political killings and torture (0=low freedom; 1=high freedom),Perceived criminality (1=low; 5=high),"Traffic deaths (deaths/100,000)",Adult literacy rate (% of pop. aged 15+),Primary school enrollment (% of children),Secondary school enrollment (% of children),Gender parity in secondary enrollment (girls/boys),Access to quality education (0=unequal; 4=equal),Mobile telephone subscriptions (subscriptions/100 people),Internet users (% of pop.),Participation in online governance (0=low; 1=high),Access to independent media (% of pop.),Life expectancy at 60 (years),"Premature deaths from non-communicable diseases (deaths/100,000)",Access to essential services  (0=none; 100=full coverage),Access to quality healthcare (0=unequal; 4=equal),"Outdoor air pollution attributable deaths (deaths/100,000)",Wastewater treatment (0=no treatment; 100=fully treated),Greenhouse gas emissions (CO2 equivalents per GDP),Biome protection (% of biomes),Political rights (0=no rights; 40=full rights),Freedom of expression (0=no freedom; 1=full freedom),Freedom of religion (0=no freedom; 4=full freedom),Access to justice (0=non-existent; 1=observed),Property rights for women (0=no right; 5=full rights),Vulnerable employment (% of employees),Early marriage (% of women),Satisfied demand for contraception (% of women),Corruption (0=high; 100=low),Acceptance of gays and lesbians (0=low; 100=high),Discrimination and violence against minorities (0=low; 10=high),Equality of political power by gender (0=unequal power; 4=equal power),Equality of political power by socioeconomic position (0=unequal power; 4=equal power),Equality of political power by social group (0=unequal power; 4=equal power),Years of tertiary schooling,Women's average years in school,Globally ranked universities (points),Percent of tertiary students enrolled in globally ranked universities
Cyprus,CYP,82.85,91.85,87.07,69.62,98.25,99.85,92.80,76.51,98.08,81.26,81.70,87.25,91.41,78.18,55.63,53.27,4.7,9.471,2.6,1.216,14.5175,100,100,99.3697,0,100,5.65547,0.410287,1.29,0.955353,3,12.5983,98.6784,98.6002,99.7783,0.99277,3.73114,133.417,75.9004,0.52542,92.8,23.0773,233.808,78.148,3.75863,24.9497,79.34,277.24,17,38,0.917672,3.48235,0.954835,4.44923,12.4,2,,57,35.85779953,6,2.35785,2.75236,2.4951,1.32,14.64,3,30
Czech Republic,CZE,84.66,95.38,86.40,72.22,98.55,99.73,97.15,86.08,98.06,83.53,77.87,86.12,90.93,80.63,61.18,56.14,2.5,5.469,3.2,2.593,18.9988,99.8797,99.8797,99.1362,0,100,6.49782,1.447,0.75,0.954843,2,8.313,,,105.047,1.00958,3.74077,117.662,76.4812,0.55932,97.7778,22.066,303.912,76.805,3.78214,36.0232,95.77,380.987,17,37,0.954087,3.17608,0.935736,4.69984,14,0,82.2,57,48.77220154,5.1,2.28238,2.62075,3.14665,0.54,14.47,14,60
Germany,DEU,89.21,95.35,90.71,81.57,98.88,99.82,95.54,87.15,95.79,91.86,83.13,92.05,96.85,89.16,76.45,63.82,2.5,8.052,3.8,0.969,16.2493,100,100,99.2191,0,100,6.17589,0.585718,0.85,0.952381,2,5.11423,,99.8105,101.061,0.95345,3.33683,126.314,89.6471,0.76271,99.5,23.6757,243.317,79.647,3.77249,20.2238,99.65,242.886,17,39,0.973654,3.78541,0.985523,4.82345,6,0,83,81,71.76029968,4.9,3.42478,3.02198,3.45784,0.76,14.24,99,50
Djibouti,DJI,46.34,62.78,40.06,36.18,70.47,54.05,67.60,59.00,46.41,19.60,46.49,47.75,50.29,51.39,37.04,5.99,12.8,285.325,64.2,27.187,361.969,76.9225,79.7936,51.3781,77.0363,51.7827,,35.0249,6.77,0.547846,3,17.9933,,59.0728,44.1304,0.83474,1.54644,36.6374,13.1349,0,25.8,18.0534,424.073,46.727,1.42883,84.056,0,553.94,1.33436,7,0.319562,2.37932,0.731338,3.11624,36.7,,44.9,31,5.293600082,6.2,1.87757,1.31383,2.07039,,4.05,0,0
Denmark,DNK,89.96,96.17,92.06,81.64,98.72,99.91,98.85,87.23,98.01,94.57,82.38,93.29,97.72,91.35,80.69,56.82,2.5,4.025,4.4,1.108,25.6184,100,100,99.5972,0,100,6.78811,0.216597,0.99,0.966787,2,4.66723,,99.9898,129.119,1.02948,3.75306,122.29,96.9678,0.81356,98.75,23.5128,235.484,79.904,3.5938,17.1798,98.45,191.707,17,40,0.981492,3.86096,0.987369,4.79548,5.6,0,83.7,88,80.35050201,4.4,3.2838,3.55148,3.42399,0.95,15.13,13,40
Dominican Republic,DOM,65.34,75.36,72.31,48.35,88.12,87.19,74.00,52.12,73.61,68.84,61.71,85.07,76.64,54.79,41.17,20.82,13.5,65.565,30.7,7.923,82.7417,94.4771,79.7517,82.697,7.76882,100,2.3353,9.46302,17.39,0.805248,4,20.4236,91.9912,88.0284,77.1657,1.09522,0.723946,81.7758,61.3282,0.49153,80,22.3934,277.113,62.334,1.02001,37.7797,90.17,251.728,14.0774,26,0.811996,3.79717,0.433403,4.63314,40.7,27,84,29,33.8572998,5.5,1.17351,1.7945,2.07479,0.36,11.12,0,0
Algeria,DZA,66.83,80.87,73.65,45.97,91.69,88.74,84.87,58.18,89.32,59.18,69.50,76.61,54.66,66.42,42.58,20.24,4.6,61.92,25.2,10.727,35.8385,93.4664,76.5349,87.4877,2.27696,99.4396,4.19741,0.415597,1.37,0.659245,4,26.0559,75.136,99.2338,99.655,1.03799,3.07008,115.848,42.9455,0.11864,75,22.1992,285.719,64.214,2.80257,47.7332,91.6,383.204,7.37916,10,0.568935,1.7741,0.5961,3.95663,38,2,76.5,33,20.57839966,7.33871,1.98455,2.107,2.05953,0.46,7.74,1,0
Ecuador,ECU,70.20,80.16,75.40,55.04,87.31,88.51,88.46,56.37,92.44,64.07,71.94,73.14,81.76,56.75,55.85,25.78,12.1,57.967,20.9,19.862,51.6077,92.6099,85.6845,86.1382,8.18431,99.9368,4.91889,3.55522,8.23,0.950761,4,26.1694,94.3502,98.9184,107.079,1.02901,2.62936,84.7252,54.0629,0.57627,58.37,23.7945,218.647,61.655,2.58697,18.4806,0,349.033,15.4978,25,0.868796,3.48137,0.758031,4.57984,44.8,22,82.7,32,45.27330017,7,2.10657,3.04159,2.60649,0.38,11.24,2,0
Egypt,EGY,60.93,80.78,61.17,40.84,89.92,97.25,89.41,46.53,77.29,54.40,45.98,67.01,37.49,64.52,21.29,40.07,4.5,43.922,22.8,19.676,48.6875,98.3575,97.6355,93.1695,0,100,5.02062,0.489759,3.23,0.137978,3,35.0604,75.0607,99.4816,85.9409,0.98258,0.282666,102.198,41.2481,0.40678,33.6,18.609,565.181,61.19,0.567711,120.723,86.32,300.615,12.2977,10,0.160981,2.36745,0.454476,1.94022,24.6,14,81,32,,8.9,0.556798,1.18158,1.59525,0.41,9.06,11,40
Eritrea,ERI,33.74,41.99,34.39,24.85,59.19,12.59,53.99,42.19,45.44,7.25,43.30,41.59,15.02,43.66,35.10,5.63,,601.413,44.5,29.61,476.288,19.2903,47.203,11.2575,88.65,46.6805,,93.3418,7.46,0.152856,4,22.952,64.663,43.1336,33.142,0.85035,2.61581,10.2126,1.17712,0.01695,14.5,15.6915,541.771,39.806,2.91324,92.876,0,961.367,4.8627,1,0.027939,1.58262,0.105099,0.821722,6.8,31,28.3,20,,7.4,1.17038,2.77163,1.18384,,3.95,0,0
Spain,ESP,87.11,94.02,91.39,75.92,99.03,99.94,95.90,81.20,95.58,89.47,86.44,94.08,93.56,81.18,66.69,62.25,2.5,4.896,3.3,1.053,13.6412,99.9434,99.9434,99.9044,0,100,6.24175,0.522709,0.66,0.933411,3,5.16455,98.2505,98.7187,127.95,1.00705,3.04151,111.163,80.5613,0.9322,83.75,25.3491,197.504,82.947,3.31946,12.2487,99.71,210.925,17,38,0.92173,3.59473,0.948137,4.79549,12,1,84.5,57,81.86460114,5.8,2.4598,2.50657,3.33217,0.96,13.5,44,50
Estonia,EST,83.49,91.18,87.59,71.69,97.89,98.92,92.45,75.45,96.62,92.13,75.59,86.02,95.92,82.97,55.07,52.81,2.5,5.173,2.9,5.655,13.395,99.6145,96.2258,99.6088,0,100,5.79359,8.99719,3.2,0.956864,3,7.40252,99.8858,93.5663,110.86,0.99645,3.81151,144.61,87.2373,0.81356,98.1429,22.0692,353.456,74.95,3.69032,15.0151,96.42,621.852,17,38,0.976254,3.80895,0.964635,4.76417,5.6,5,78.4,71,24.8409996,7.53632,2.67688,2.92295,2.71844,1.1,14.47,3,40
Ethiopia,ETH,41.47,45.87,46.56,31.99,60.78,31.51,44.51,46.67,61.65,35.01,39.53,50.07,49.67,50.77,22.17,5.34,28.8,341.035,58.4,41.007,395.844,39.1243,32.6909,7.07892,31.9949,42.9,3.17323,143.423,7.6,0.376005,4,22.8021,,86.4468,35.0998,0.95887,1.37034,50.0219,15.3669,0.49153,25.2,16.5123,500.269,41.076,1.35403,86.1814,0,931.591,14.6504,4,0.327782,3.00598,0.757381,2.41764,48.1,23,60.6,35,3.82069993,8.8,1.48294,1.63355,0.106732,,3.75,0,0
Finland,FIN,89.77,95.66,92.49,81.16,99.22,99.87,98.23,85.34,95.32,95.02,86.68,92.94,96.55,90.69,82.28,55.14,2.5,3.288,2.3,1.145,9.68859,100,100,99.4479,0,100,6.67289,0.235319,1.6,0.959891,2,5.21923,,99.2737,152.168,1.10207,3.83271,133.853,87.7037,0.91525,99.6,24.4598,199.202,85.827,3.48293,9.74192,97.01,279.348,17,40,0.957155,3.85625,0.972627,4.71514,9.9,1,89.9,85,80.41639709,1.5,3.08577,3.24884,3.26332,0.95,15.05,18,30
Fiji,FJI,64.86,85.19,61.48,47.91,90.66,93.56,84.54,71.99,86.56,56.18,28.32,74.85,71.02,62.42,34.33,23.87,4.6,139.765,22,5.977,98.2572,93.7124,86.5008,95.677,0.1868,98.646,,31.2734,2.97,0.866709,,14.8205,,98.0294,88.7216,1.10828,2.69313,116.236,46.507,0.28814,46,15.5068,1003.52,46.665,1.43336,30.0164,64.8,300.348,4.39292,24,0.503409,3.60674,0.778461,3.69475,39.4,10,65.8,,,6.6,1.34,1.26734,2.00637,0.48,12.09,0,0
France,FRA,87.88,93.62,92.20,77.82,98.80,99.68,98.71,77.28,97.55,89.78,87.26,94.21,92.24,87.28,67.48,64.28,2.5,7.314,3.9,1.223,17.5359,100,100,98.652,0,100,6.76202,0.197067,1.58,0.899976,3,6.88194,,99.772,111.067,1.00856,3.43846,104.404,85.6222,0.89831,83.4483,25.4748,223.598,80.9,3.79266,11.9935,95.56,165.94,17,38,0.976271,3.41665,0.978295,4.35381,7.6,1,90.7,70,71.07559967,7,3.19583,2.73294,3.05127,0.88,14.04,79,50
United Kingdom,GBR,88.74,94.25,91.98,79.99,98.12,99.79,98.12,80.95,95.84,97.01,82.28,92.77,94.63,90.45,62.77,72.10,2.5,6.902,4.3,2.87,32.5204,100,100,99.1127,0,100,6.65906,0.509979,0.92,0.938521,3,4.12495,,99.942,125.485,1.03164,3.18357,119.977,94.7758,1,93.4613,23.7668,236.161,77.802,3.66137,19.856,99.82,206.221,17,40,0.960868,3.74497,0.955416,4.48304,13,0,93,82,74.95459747,6.4,2.49861,2.53993,2.87284,0.96,14.9,152,60
Georgia,GEO,71.14,81.78,76.19,55.46,93.63,90.89,82.51,60.08,96.56,76.08,61.05,71.05,78.18,58.17,45.23,40.25,7,32.504,10.7,10.385,18.6122,93.2635,86.3809,84.8767,0,100,4.97348,53.4242,2.68,0.676605,4,17.0455,99.5862,99.6259,104.28,1.02139,3.31314,140.946,58.0062,0.55932,86.2,19.9636,509.757,59.55,3.39287,60.8115,81.51,502.395,8.18819,26,0.881518,3.30113,0.589853,4.56576,56.3,14,57.3,56,6.941100121,7.6,2.2278,2.46216,2.44434,,14.57,1,20
Ghana,GHA,60.31,63.61,63.28,54.03,78.30,47.68,57.24,71.21,73.91,64.47,48.89,65.84,91.16,50.50,57.00,17.47,7.6,130.895,58.8,18.017,375.836,77.7993,31.7933,14.2795,31.132,79.3,3.11746,126.609,1.7,0.924652,3,21.0034,71.4971,97.1403,60.4146,0.97398,1.33309,135.801,34.666,0.45763,72.2857,17.466,456.928,52.814,1.86127,103.255,53.73,290.104,13.423,37,0.897068,3.80762,0.915211,4.37874,68.6,9,45.6,40,11.81289959,4.1,2.55028,2.30268,3.17,0.12,7.12,1,10
Guinea,GIN,39.09,46.39,41.34,29.55,57.71,46.89,30.80,50.17,40.77,39.67,33.05,51.86,57.58,28.28,29.38,2.95,17.5,508.955,89,29.884,545.408,67.3726,28.4305,21.9523,23.7151,33.5,2.41538,198.021,8.46,0.51045,4,19.837,32.0039,80.2995,40.3022,0.65611,0.924503,87.1254,9.8,0.08475,46.875,16.2254,552.468,39.972,0.34232,112.925,51.13,1121.14,16.9514,17,0.719487,3.61405,0.33521,2.36265,65.1,38,23.3,27,10.8114996,8.9,1.17995,1.80043,1.67574,,2.07,0,0
"Gambia, The",GMB,49.43,63.98,45.92,38.39,71.89,72.78,47.10,64.16,61.36,46.59,50.43,25.31,68.54,34.62,44.61,5.79,10.9,305.738,65.3,22.206,354.629,80.0586,74.6458,41.6938,1.50224,47.7571,3.48196,147.441,9.07,0.851633,3,16.9153,41.9501,81.7352,57.0956,0.95141,1.86089,139.226,18.5,0.20339,42.1429,18.1232,424.917,50.906,1.9508,109.327,26.32,2562.49,4.00642,20,0.386571,3.51401,0.796955,4.04337,75.5,25,29.7,30,12.7517004,3.5,1.45404,1.95946,2.28544,0.06,3.48,0,0
Greece,GRC,82.59,92.13,85.43,70.21,98.85,99.76,91.44,78.46,94.42,76.45,81.06,89.80,91.29,68.43,65.31,55.79,2.5,8.815,3.8,1.264,12.3749,100,100,98.964,0,100,5.40111,0.437006,0.85,0.964027,3,11.3228,97.1288,96.1483,99.3342,0.9341,3.71529,112.118,69.0879,0.61017,73.5,23.9111,253.127,78.723,3.33,23.3805,97.72,321.905,17,35,0.904023,3.33645,0.972153,4.84049,26.4,4,62,48,27.34280014,5.1,2.8807,3.65702,2.69644,1.28,13.88,10,30
Guatemala,GTM,60.41,71.33,68.42,41.47,77.33,82.10,84.98,40.90,69.78,66.83,56.59,80.49,69.23,54.95,32.22,9.48,15.6,88.522,28.5,44.512,117.09,93.5977,77.4676,67.3629,10.1147,91.7792,5.72601,46.0454,31.21,0.669328,5,18.568,81.2859,87.3009,63.563,0.94764,0.744678,110.144,34.5093,0.62712,66.4,21.5421,300.57,54.765,0.975846,43.0501,72.59,271.13,13.5187,23,0.810002,3.5937,0.320415,4.01875,34.7,20,67.5,28,29.79050064,8.8,2.18016,1.34997,0.722949,0,6.65,0,0
Guyana,GUY,61.96,75.98,57.71,52.18,87.03,87.08,72.19,57.64,85.92,51.16,41.87,51.90,86.32,59.33,47.33,15.74,8.5,106.263,32.4,12.371,113.793,95.0713,66.0735,86.1641,0.87767,84.2429,3.01403,14.9254,19.42,0.900144,3,24.8056,85.6397,96.5344,98.7475,1.04444,1.87537,75.6054,35.66,0.25424,63.4,17.3064,644.972,51.25,1.47187,61.2006,0,851.107,8.57655,32,0.802709,3.81786,0.801692,4.65151,30.7,,57.1,38,,7,2.12533,2.40882,2.36588,0.02,10.85,0,0
Honduras,HND,58.06,69.91,59.63,44.64,85.25,86.24,70.97,37.20,66.52,49.89,50.68,71.42,69.64,52.17,42.43,14.30,14.8,100.537,18.7,21.617,56.9339,92.1787,89.329,79.7764,13.348,87.5766,3.49943,53.2451,63.75,0.660815,5,17.6833,88.9875,84.322,64.5904,1.16382,0.76271,85.9532,30,0.38983,41.75,19.4936,385.17,55.067,0.860766,55.2654,56.32,576.124,15.0725,20,0.753008,3.7502,0.355918,4.29853,49.6,25,77.6,29,36.7242012,5.6,1.95999,1.10471,2.0223,0.15,8.58,0,0
Croatia,HRV,79.60,90.37,84.60,63.84,97.15,99.16,92.80,72.39,95.81,86.89,70.08,85.60,85.04,73.19,47.84,49.31,2.5,8.214,4.7,7.648,10.4498,99.5859,99.5859,97.4661,0,100,5.84344,8.34595,0.87,0.95066,4,10.408,99.1254,98.2024,97.7576,1.04634,3.64133,104.773,72.6973,0.77966,94.3333,20.9157,365.148,72.922,3.11083,41.3304,86.58,265.812,17,37,0.671287,3.46653,0.792555,4.91186,9.6,2,61.5,49,32.26710129,5.5,2.10705,2.15493,1.82191,0.72,12.57,2,60
Hungary,HUN,80.11,90.98,81.09,68.26,98.15,99.37,88.40,78.01,96.24,78.34,64.66,85.13,87.19,76.98,58.56,50.29,2.5,12.132,5.2,3.216,9.51096,99.9713,99.3498,97.9895,0,100,5.0955,11.7243,1.48,0.946158,3,7.83327,,97.7592,102.27,0.99974,3.21306,120.779,79.2594,0.49153,82,20.2825,493.932,70.321,3.04911,52.3397,93.42,239.518,17,28,0.787494,3.8653,0.8901,4.84393,5.8,1,75.6,45,25.61389923,4.5,2.71754,2.32495,2.91332,0.77,13.91,7,40
Indonesia,IDN,63.26,74.13,64.70,50.95,78.97,64.47,80.85,72.23,82.62,59.15,49.25,67.80,75.78,59.01,38.77,30.25,7.9,275.828,26.4,31.541,138.386,89.524,17.9375,67.8866,20.5556,97.62,4.43279,38.0538,0.5,0.786481,3,19.8936,95.377,91.7112,86.0477,1.03696,1.49942,147.664,25.3663,0.37288,68,18.785,492.036,51.076,1.76657,49.5631,13.6,309.343,11.8697,30,0.832403,2.54135,0.69366,4.31033,54.9,14,79.9,37,5.71780014,7.2,1.95926,1.65931,2.28977,0.26,9.56,11,10
India,IND,56.26,63.02,59.26,46.50,72.13,54.12,71.17,54.65,75.76,62.40,44.32,54.55,71.61,46.49,38.79,29.12,14.5,199.933,43,41.713,258.958,87.5591,43.3671,44.1511,55.6215,84.5268,4.67823,94.2508,3.21,0.600716,4,24.0898,69.3026,97.73,75.1767,1.01659,1.00469,85.1709,29.5472,0.76271,56.8333,17.6999,530.574,50.734,1.29578,123.86,58.83,441.628,5.1047,35,0.586695,2.92896,0.590921,4.00691,77.6,28,73,40,26.65399933,8.3,1.99755,1.64987,1.94667,0.33,5.79,52,0
Ireland,IRL,88.82,95.03,89.14,82.29,98.82,97.52,96.30,87.47,96.65,89.39,81.11,89.42,96.38,85.18,78.18,69.43,2.5,5.064,3.6,1.167,23.1196,98.9216,98.9216,92.1779,0,100,6.3163,0.467596,0.64,0.932104,2,4.98036,,99.6785,126.151,1.02456,3.36307,103.154,85.0111,0.71186,98.8,23.817,223.475,80.69,3.03582,16.8681,91.19,260.088,14.7259,39,0.962945,3.87642,0.970473,4.73181,12.2,0,80.2,74,84.33450317,1.1,2.3834,2.95969,3.41746,1.68,14.53,15,50
Iran,IRN,63.96,81.58,69.51,40.79,94.61,93.21,89.17,49.31,86.87,60.78,64.07,66.31,44.23,56.40,21.74,40.81,5.5,13.232,15.1,7.529,27.1953,94.8662,92.6004,88.2898,1.6844,100,4.97625,0.543054,4.12,0.34156,3,35.6249,84.7052,99.4144,88.9459,1.0023,1.99368,100.302,53.2268,0.20339,64.6,21.0685,339.602,67.895,1.95298,60.5617,64.32,568.722,6.97836,7,0.411672,1.54583,0.517492,3.2381,39.8,21,77.3,30,,9.27112,1.02172,1.42605,1.2339,0.81,9.89,21,10
Iceland,ISL,90.24,97.51,91.81,81.39,99.11,99.71,98.18,93.04,98.47,91.16,88.02,89.59,94.94,87.53,81.19,61.91,2.5,2.222,2.1,1.106,20.6413,100,100,98.7774,0,100,6.66374,0.273213,0.91,0.961825,1,5.70687,,98.6773,119.083,1.00784,3.80375,120.795,98.24,0.66102,98.2857,24.4779,195.364,85.714,3.77933,11.5892,94.47,214.813,11.6455,37,0.94935,3.77429,0.964142,4.79956,7.8,1,,77,92.12989807,1.1,2.58803,3.07599,3.3634,1.31,14.86,3,60
Israel,ISR,82.47,92.91,88.04,66.47,98.77,100.00,96.50,76.36,93.40,88.23,82.32,88.21,84.25,79.07,43.11,59.46,2.5,5.576,3.6,1.447,20.8087,100,100,100,0,100,6.35067,0.34543,1.36,0.856369,3,8.09865,,99.6808,104.047,1.01717,2.39165,129.031,79.6531,0.83051,88.8,24.5833,197.162,76.884,3.20867,18.2444,99.49,334.713,13.1948,36,0.765237,3.14682,0.913213,4.28607,8,3,71.1,62,30.6508007,9.99897,2.11315,2.31003,2.44315,1.31,15.68,12,30
Italy,ITA,86.04,91.49,90.28,76.35,99.08,99.83,94.16,72.91,96.89,86.11,84.92,93.20,94.76,74.41,69.54,66.70,2.5,3.86,3.3,1.231,8.6996,100,100,99.2814,0,100,5.90956,0.34185,0.78,0.919292,4,8.45144,98.8483,99.2981,103.177,0.97728,3.46276,152.999,61.3243,0.91525,89.5,24.6506,202.42,81.162,3.43356,16.4882,97.53,195.348,17,36,0.934766,3.70322,0.988864,4.88784,17.4,0,68.2,50,62.77669907,4.8,2.67242,2.77329,3.60405,0.45,14.28,71,80
Jordan,JOR,69.75,87.77,72.13,49.36,94.16,95.56,93.21,68.14,84.11,68.25,66.31,69.84,60.66,70.67,28.50,37.62,4.2,35.444,17.6,7.932,25.9381,98.5667,86.1083,96.7081,0.06988,100,5.72457,0.029046,2,0.755983,3,18.9434,97.8903,,70.0844,1.0353,2.4079,103.835,62.3022,0.45763,62.25,21.5272,344.457,66.272,2.46698,48.5147,81.74,426.607,1.17668,12,0.583226,2.14141,0.750366,3.95471,9.5,7,61.9,48,,8.3,0.933439,1.91888,1.19368,0.42,12.39,3,30
Japan,JPN,89.74,97.78,94.66,76.78,98.21,99.11,98.21,95.58,98.86,96.62,91.20,91.97,95.37,80.13,62.72,68.89,2.5,5.727,2.7,3.718,26.3157,98.9455,97.7943,100,,100,6.66441,0.012392,0.31,0.956005,1,4.50736,,98.7999,102.142,1.00591,3.87816,130.61,93.1827,0.98305,94.8571,26.3058,168.855,83.328,3.85682,12.5909,94.06,276.738,17,40,0.878153,3.82336,0.979923,4.80342,8.5,1,60.1,73,28.90789986,3.4,1.99409,3.13277,3.29081,1.37,15.51,111,30
Kazakhstan,KAZ,67.26,83.18,69.89,48.72,95.80,90.58,84.26,62.09,94.65,65.17,57.38,62.38,52.77,66.86,30.82,44.41,2.5,15.023,11.4,8.034,30.4859,91.1456,74.9984,97.8053,0.02049,100,4.57922,22.7799,4.84,0.627011,3,18.2681,99.7816,99.181,113.073,1.00894,2.70627,141.957,74.5877,0.59322,28.3333,18.8188,546.095,63.773,2.81388,68.2689,79.83,715.164,3.26391,5,0.439297,1.6274,0.715847,4.21622,26.6,5,76.2,31,6.886400223,7.9,1.75415,0.890904,2.03405,0.86,13.93,10,10
Kenya,KEN,55.55,57.35,63.71,45.58,69.18,48.59,60.59,51.02,69.29,58.31,53.58,73.68,56.91,56.91,34.66,33.85,19.1,249.578,49.2,23.229,554.977,58.4568,32.1292,29.8447,15.2648,56,4.08936,85.4024,5.75,0.36001,4,15.3858,78.733,83.119,57.8434,0.90413,1.98957,80.4394,26,0.52542,70,18.2202,289.974,55.514,1.4823,34.4627,41.57,477.719,13.8347,19,0.753427,3.12262,0.322117,2.49181,52.9,13,77.8,28,19.49399948,8.9,1.74641,1.83636,1.67016,0.28,9.14,1,50
Kyrgyzstan,KGZ,65.79,79.79,68.93,48.66,91.42,91.94,75.83,59.96,93.30,64.35,54.83,63.26,63.91,59.74,42.63,28.36,6.4,45.699,21.1,12.639,39.128,87.2686,88.8248,96.5861,0,99.9961,3.64922,50.559,5.12,0.530409,3,18.0669,99.2434,99.6194,97.5656,1.00074,2.33704,127.835,34.5,0.59322,60.1429,18.7077,515.101,60.287,2.40364,75.2684,65.61,816.965,12.3627,12,0.746382,2.13797,0.678423,4.26183,39.7,8,67.2,29,8.003600121,8.1,2.21727,2.34776,2.19794,0.63,13.79,0,0
Cambodia,KHM,47.50,56.04,52.38,34.08,78.27,47.03,49.55,49.34,62.66,45.41,41.69,59.78,43.45,51.86,31.54,9.49,15.3,126.111,30.6,32.253,200.019,74.9708,21.44,48.8255,50.519,49.7707,3.46728,132.103,1.84,0.338138,4,29.0776,73.9,93.0016,45.227,0.85476,0.590194,126.348,32.3985,0.0678,37.5,17.6119,487.916,51.267,0.428863,72.6382,0,604.448,17,10,0.189195,2.98376,0.238367,3.31536,51.7,11,60.7,21,29.98290062,6.6,1.53922,0.819146,1.24318,0.1,5.69,0,0
"Korea, Republic of",KOR,87.13,96.00,89.10,76.28,98.20,99.43,96.86,89.52,98.17,93.69,85.45,79.10,92.93,78.94,64.03,69.20,2.5,10.709,3.4,3.115,24.7956,99.5949,98.2287,99.8875,,100,6.40969,0.005383,0.74,0.951771,1,14.3128,,97.3683,100.197,1.00142,3.86513,120.68,92.843,0.9661,85.75,24.0086,207.506,81.594,3.80553,24.4858,98.22,395.692,3.45481,33,0.947676,3.88709,0.960218,4.62765,19.4,0,83.4,54,31.24500084,2.6,2.2076,2.68003,3.42608,1.94,14.62,47,20
Laos,LAO,47.58,61.87,51.27,29.60,71.64,63.60,65.07,47.16,68.75,34.83,40.06,61.42,24.28,45.37,36.99,11.75,17.1,166.392,63.9,39.177,161.137,80.4474,41.7848,72.5943,34.7043,87.0958,4.79529,153.95,6.87,0.154619,3,26.5836,58.2879,94.7263,66.5323,0.92881,1.14047,58.5721,21.87,0.27119,29.8333,17.917,587.61,44.873,1.05619,83.8137,0,342.185,15.9012,1,0.052503,1.74726,0.229829,2.00066,80,20,67.6,29,39.23320007,6.40655,1.79711,1.5839,0.722753,0.22,6.11,0,0
Lebanon,LBN,66.99,78.69,74.52,47.75,94.60,92.42,71.55,56.21,76.78,74.46,73.67,73.16,65.25,62.42,29.81,33.51,5.4,12.702,8.1,11.836,13.2107,92.2582,85.4457,95.3594,,100,1.65234,0.002796,3.95,0.647682,5,6.92,91.1842,85.7904,60.0023,1.00468,1.91643,81.4184,76.11,0.49153,88.3333,23.5239,253.986,74.684,2.12334,36.759,76.47,378.257,2.88803,11,0.661944,3.5912,0.60891,3.67843,33.1,3,63.8,28,11.93879986,8.2,0.771878,1.52755,2.35606,,11.39,4,10
Liberia,LBR,46.35,44.63,46.71,47.71,52.99,30.68,32.05,62.79,55.30,37.75,41.30,52.51,84.53,42.16,55.71,8.44,42.8,513.494,67.4,30.618,471.521,69.9005,3.69407,16.8895,61.2779,19.8,2.39591,154.51,3.22,0.818755,4,15.6936,,90.0598,37.3972,0.77622,1.27246,67.5579,7.31911,0.28814,43.1429,16.8682,460.337,46.754,0.889708,56.5829,0,608.567,2.201,27,0.838236,3.82581,0.781711,4.64241,76.6,20,49.9,31,8.563400269,5.5,2.78416,2.44202,3.0624,0.16,4.37,0,0
Sri Lanka,LKA,68.01,78.48,75.27,50.29,87.77,80.99,77.56,67.59,90.21,71.66,66.83,72.38,74.03,63.27,34.47,29.39,22.1,33.943,9.4,13.697,38.5965,92.3119,37.5834,94.2067,2.90633,95.5882,3.96667,39.6646,2.91,0.757832,3,16.9158,91.1814,99.0801,97.6956,1.03436,2.37986,124.034,32.051,0.66102,83.5,22.012,302.365,69.304,1.88501,37.5575,0,184.223,15.4397,24,0.764614,3.00096,0.743128,4.04814,40,9,73.5,38,5.765900135,8.7,1.71201,1.83379,2.08675,0.52,11.6,1,10
