Country,Code,Social Progress Index,Basic Human Needs,Foundations of Wellbeing,Opportunity,Nutrition and Basic Medical Care,Water and Sanitation,Shelter,Personal Safety,Access to Basic Knowledge,Access to Information and communications,Health and Wellness,Environmental Quality,Personal Rights,Personal Freedom and Choice,Inclusiveness,Access to Advanced Education,Undernourishment (% of pop.),"Maternal mortality rate (deaths/100,000 live births)","Child mortality rate (deaths/1,000 live births)",Child stunting (% of children),"Deaths from infectious diseases (deaths/100,000)",Access to at least basic drinking water (% of pop.),Access to piped water (% of pop.),Access to at least basic sanitation facilities (% of pop.),Rural open defecation (% of pop.),Access to electricity (% of pop.),Quality of electricity supply (1=low; 7=high),"Household air pollution attributable deaths (deaths/100,000)","Homicide rate (deaths/100,000)",Political killings and torture (0=low freedom; 1=high freedom),Perceived criminality (1=low; 5=high),"Traffic deaths (deaths/100,000)",Adult literacy rate (% of pop. aged 15+),Primary school enrollment (% of children),Secondary school enrollment (% of children),Gender parity in secondary enrollment (girls/boys),Access to quality education (0=unequal; 4=equal),Mobile telephone subscriptions (subscriptions/100 people),Internet users (% of pop.),Participation in online governance (0=low; 1=high),Access to independent media (% of pop.),Life expectancy at 60 (years),"Premature deaths from non-communicable diseases (deaths/100,000)",Access to essential services  (0=none; 100=full coverage),Access to quality healthcare (0=unequal; 4=equal),"Outdoor air pollution attributable deaths (deaths/100,000)",Wastewater treatment (0=no treatment; 100=fully treated),Greenhouse gas emissions (CO2 equivalents per GDP),Biome protection (% of biomes),Political rights (0=no rights; 40=full rights),Freedom of expression (0=no freedom; 1=full freedom),Freedom of religion (0=no freedom; 4=full freedom),Access to justice (0=non-existent; 1=observed),Property rights for women (0=no right; 5=full rights),Vulnerable employment (% of employees),Early marriage (% of women),Satisfied demand for contraception (% of women),Corruption (0=high; 100=low),Acceptance of gays and lesbians (0=low; 100=high),Discrimination and violence against minorities (0=low; 10=high),Equality of political power by gender (0=unequal power; 4=equal power),Equality of political power by socioeconomic position (0=unequal power; 4=equal power),Equality of political power by social group (0=unequal power; 4=equal power),Years of tertiary schooling,Women's average years in school,Globally ranked universities (points),Percent of tertiary students enrolled in globally ranked universities
Benin,BEN,49.56,48.22,51.43,49.02,64.41,33.21,36.61,58.66,61.47,44.63,47.62,51.99,91.93,34.80,63.38,5.96,10.3,312.138,97.6,32.548,424.16,67.0173,41.7226,13.9301,76.4181,41.4026,2.06101,155.609,6.01,0.937057,4,23.8859,32.9488,96.3604,58.8474,0.71407,3.18813,81.7903,11.994,0.16949,61.1667,17.1712,464.514,46.663,2.28135,122.932,10.7,617.672,17,33,0.885004,3.89836,0.942697,4.74055,89.4,22,27,39,14.64210033,3.1,2.6577,2.5738,3.56918,0.15,2.73,0,0
Burkina Faso,BFA,44.02,47.08,44.45,40.53,61.61,29.78,28.17,68.75,48.83,43.29,40.73,44.96,78.73,35.45,45.30,2.65,20.2,315.885,84.6,29.469,550.688,53.8576,25.5617,22.5321,65.3178,19.1647,1.69483,154.179,0.71,0.744081,3,24.103,34.5994,75.8529,35.7872,0.951,0.704509,82.6112,13.96,0.23729,47.75,16.4951,477.655,46.591,1.01908,123.251,0,870.173,15.695,23,0.876643,3.72525,0.788459,3.67879,91.3,32,46.6,42,9.005299568,4.2,1.63763,1.94602,2.49726,,1.86,0,0
Bangladesh,BGD,52.18,66.07,55.86,34.61,77.14,67.31,60.56,59.27,72.81,55.18,48.95,46.49,55.90,40.26,29.96,12.31,15.1,179.039,34.2,35.855,111.139,97.3271,14.2523,46.9246,0.16218,75.92,3.65105,114.687,2.51,0.320345,3,17.1216,72.7587,98.2762,68.981,1.10482,1.1552,83.4492,18.2469,0.52542,62.2,20.0787,443.289,55.643,0.492544,116.523,0,353.873,3.29012,19,0.467985,2.21736,0.361415,4.32531,54.5,46,75.2,28,26.36759949,8.4,1.59087,0.437167,2.13729,0.16,5.09,1,0
Bulgaria,BGR,76.27,88.38,76.60,63.84,95.76,96.24,86.53,75.01,90.25,76.45,61.58,78.12,85.89,69.03,59.11,41.32,3.4,19.334,7.6,9.203,18.1783,99.2556,99.1258,85.9811,0,100,4.76908,12.7955,1.8,0.864638,3,9.33984,98.3524,93.4569,99.9003,0.96915,2.39272,125.834,59.8255,0.69492,74.1667,19.8152,501.736,63.721,3.15445,67.3782,93.93,490.842,16.9779,33,0.820741,3.37799,0.826635,4.7755,8.1,9,63.4,43,31.81870079,5.1,2.67499,2.46221,2.94376,0.85,13.62,2,20
Belarus,BLR,73.73,87.96,76.13,57.11,98.02,95.49,91.01,67.33,97.54,69.89,63.38,73.70,61.12,75.78,50.57,40.95,2.5,5.412,3.9,4.495,16.3832,98.0056,89.1817,94.254,0,100,,1.71865,3.58,0.736324,3,14.5344,99.6171,99.551,104.363,0.98402,3.53556,120.673,71.113,0.55932,51.8333,19.5801,537.526,70.901,3.22364,67.264,97.54,526.903,10.5456,6,0.419507,3.30116,0.650665,4.41837,2.1,4,74.4,44,10.64459991,6.8,2.05245,3.1287,2.58429,,14.86,3,10
Bolivia,BOL,65.48,73.49,68.91,54.03,80.74,69.13,83.85,60.23,80.57,66.65,55.61,72.82,76.75,56.76,57.23,25.39,20.2,146.046,36.9,16.797,114.016,92.8816,73.8043,52.614,40.4269,93.0391,5.00108,27.272,12.4,0.89021,3,23.8595,92.4551,91.0235,86.4552,0.98022,0.998927,92.8208,39.6975,0.57627,72.6,20.5196,334.374,53.032,1.50276,45.8726,63.66,725.507,16.5269,28,0.804604,3.88445,0.460211,4.30017,32,15,57.6,33,38.08549881,5.7,2.06682,3.30159,2.38327,0.82,9.86,0,0
Brazil,BRA,72.73,79.88,78.20,60.09,94.28,91.89,86.09,47.26,83.79,81.91,61.23,85.89,78.90,71.82,52.85,36.80,2.5,68.346,15.1,5.777,63.784,97.4979,96.1045,86.1484,10.995,100,4.49357,4.62089,26.74,0.750271,4,23.6425,91.7294,96.6388,99.651,1.0511,0.907064,117.536,60.8725,0.72881,90.5714,21.5892,334.351,62.354,1.54767,28.4224,81.08,334.825,16.9797,31,0.778281,3.5857,0.572848,4.46409,27.8,4,88.4,37,64.01069641,6.5,1.69011,2.06395,2.87096,0.38,9.6,38,10
Barbados,BRB,75.69,88.58,75.97,62.52,94.01,97.68,94.91,67.74,93.42,75.20,69.98,65.28,93.98,79.44,58.67,17.96,4.4,56.592,12.3,7.038,58.9928,98.1312,98.3977,96.4561,,100,6.04478,0.052345,10.91,0.92113,,10.9355,,93.3012,107.058,1.04651,3.57397,116.566,79.5494,0.42373,76,22.0464,340.274,62.687,3.41831,25.3002,64.44,773.997,1.03415,38,0.915411,3.84309,0.918795,4.76128,15.7,,75.2,68,,3.8,2.81361,2.28734,2.731,0.15,11.15,0,0
Bhutan,BTN,65.72,84.47,64.10,48.61,80.57,90.29,88.85,78.16,74.88,51.31,66.13,64.09,77.40,64.36,48.07,4.60,,160.949,32.4,27.019,99.5409,97.5587,99.6173,62.8705,0,100,5.84762,39.9931,2.75,0.85432,2,11.9017,57.0336,82.9955,83.9764,1.09518,3.47722,87.5412,41.7726,0.35593,38.2,20.8256,364.428,56.585,3.6922,80.4498,0,267.017,17,28,0.728157,2.71772,0.867085,4.3626,70.9,14,82.3,67,16.37789917,8.2,2.33399,2.51492,2.74728,,3.23,0,0
Botswana,BWA,63.52,69.17,65.74,55.66,73.83,70.40,65.15,67.29,80.07,57.74,51.80,73.33,80.95,78.23,48.97,14.49,26,65.423,40.6,23.065,434.794,79.174,89.7916,59.9559,36.495,60.6884,3.73708,45.3512,10.53,0.853343,2,22.0397,,90.3646,78.4158,1.09114,2.59323,146.16,39.363,0.28814,58,17.5124,540.433,58.013,2.52252,61.3034,49.56,410.88,17,28,0.837888,3.35173,0.775634,4.33593,14.5,5,78.2,61,18.67760086,4.6,1.75385,2.34538,2.45427,0.15,8.71,0,0
Central African Republic,CAF,26.01,26.76,22.81,28.47,22.10,37.03,15.28,32.63,29.69,19.26,20.30,21.97,40.02,27.79,39.14,6.91,58.6,801.96,123.6,37.89,1209.92,54.1439,17.8577,25.087,35.5604,13.9851,,228.376,13.09,0.573438,5,43.1678,36.7526,68.3522,15.3568,0.63784,0.44357,27.1697,4,0,41.6667,12.5105,724.987,30.073,0.706261,152.212,0,17873,17,4,0.653504,2.80004,0.14963,1.72308,72.7,42,39.7,23,8.128700256,8.8,2.07789,2.27754,1.99805,0.06,4.27,0,0
Canada,CAN,88.62,94.56,90.25,81.05,98.44,92.52,97.76,89.52,97.65,90.02,84.37,88.96,95.74,88.21,70.83,69.43,2.5,7.905,4.9,2.066,18.3216,98.9,70,98.5,,100,6.58122,0.071628,1.68,0.935827,1,8.15346,,99.9622,113.04,1.01467,3.50747,84.74,89.84,0.91525,94,24.8314,216.842,79.578,3.45493,11.3974,96.35,488.113,17,40,0.949971,3.77071,0.940294,4.80177,10.7,3,87.8,82,89.23349762,3.1,2.73826,2.85935,2.0734,1.64,15.65,48,
Switzerland,CHE,89.97,96.60,91.72,81.59,98.90,99.97,99.22,88.29,97.61,87.50,90.12,91.65,96.27,90.12,77.23,62.74,2.5,5.318,4.1,1.142,13.3787,100,100,99.891,0,100,6.86451,0.485301,0.69,0.967003,2,4.35507,,99.9871,102.29,0.96244,3.72566,133.807,89.1347,0.57627,100,25.3982,170.977,86.182,3.72333,12.3633,99.67,102.782,10.8224,39,0.978054,3.76332,0.978332,4.73503,8.4,1,86.4,85,73.33499908,3.6,3.04065,3.04,3.57263,1.1,14.42,22,50
Chile,CHL,80.61,90.91,83.07,67.85,97.18,99.68,94.93,71.84,87.29,84.17,74.03,86.79,92.23,79.46,56.02,43.69,3.7,20.479,8.3,2.06,31.5465,100,100,99.8882,1.06772,100,6.10723,2.56557,3.59,0.918766,3,12.6492,96.2671,95.8044,99.6316,1.01149,1.27024,130.111,66.01,0.74576,93,24.0022,231.117,71.264,2.19716,22.967,98.55,248.159,10.4806,37,0.967887,3.80599,0.861285,4.53176,23.7,6,86.3,67,58.38399887,3.3,2.1861,1.91892,1.96848,0.54,13.29,16,20
China,CHN,64.57,79.95,70.73,43.04,92.86,86.84,83.64,56.47,87.75,66.78,61.88,66.50,27.04,74.66,31.02,39.45,9.7,19.093,9.9,11.326,22.1306,95.818,77.6109,75.0373,2.63892,100,4.97891,44.6695,0.74,0.382222,4,21.2623,95.1245,,95.03,1.01818,1.79356,97.2521,53.2,0.81356,36.3333,20.8067,377.161,70.015,1.56245,79.7683,80.2,684.336,11.5004,0,0.171755,0.416698,0.425563,2.83453,31.6,2,94.8,41,15.63529968,7.6,1.7957,1.51836,0.82451,0.18,9.82,134,10
Côte d'Ivoire,CIV,46.64,52.75,48.85,38.34,60.12,49.34,50.75,50.77,50.87,49.62,35.98,58.93,64.87,38.31,42.30,7.87,15.4,437.397,91.8,28.405,536.503,73.0574,50.0676,29.9318,46.7369,64.3,3.58344,162.2,11.84,0.79464,4,27.4855,43.9084,87.7655,46.0968,0.72798,1.07548,115.848,26.5272,0.15254,50.8462,15.8166,583.103,43.507,1.0435,127.288,44.63,490.246,17,19,0.650776,3.54793,0.569189,3.13711,75,25,37.3,36,7.539999962,7.8,1.86576,2.0687,2.8581,0.17,3.87,0,0
Cameroon,CMR,45.63,53.28,47.01,36.61,63.59,55.23,45.51,48.78,73.47,43.15,42.20,29.23,63.79,36.22,34.55,11.88,7.9,424.354,79.7,29.206,567.535,65.28,39.3766,38.835,13.9827,60.0748,2.21677,135.965,5.93,0.455214,4,24.3711,71.2905,95.8069,61.7646,0.86008,2.45858,79.8556,25,0.16949,46.2143,16.6881,494.772,45.722,1.45969,147.805,0,1287.47,9.79912,9,0.572908,3.62941,0.503873,4.31764,73.1,26,41.2,25,10.77929974,8.4,1.89643,1.66609,1.7533,0.12,7.17,0,0
"Congo, Democratic Republic of",COD,35.63,38.56,41.89,26.45,53.86,38.94,29.23,32.21,54.55,23.66,40.22,49.11,36.80,30.42,29.09,9.47,,437.175,94.3,38.26,586.081,41.838,31.2032,19.7137,18.3592,17.1474,2.06129,156.466,13.36,0.106829,5,22.7952,77.0427,,46.1942,0.63951,1.34677,36.6913,6.20997,0.08475,39.45,15.9532,452.557,43.909,1.21985,96.2481,0,770.027,11.9678,4,0.460286,3.23569,0.167612,1.29471,73.2,25,20.9,21,12.73779964,9.9613,1.8061,1.45896,1.50437,0.04,6.26,0,0
"Congo, Republic of",COG,45.85,53.08,53.01,31.47,64.02,53.05,55.84,39.43,65.62,40.72,38.52,67.16,50.29,37.73,24.42,13.44,28.2,394.361,54.1,19.391,519.803,68.3405,56.951,15.0093,19.9791,56.5662,,101.066,10.08,0.12062,4,24.2795,79.3112,87.2205,52.1189,0.86601,1.19874,105.817,8.12195,0.08475,39.75,16.1429,507.237,47.345,0.739847,92.9274,31.97,259.421,17,2,0.336408,3.54307,0.280146,4.08478,72.8,20,40,21,13.59399986,7.5,0.781857,1.15342,1.29838,0.06,8.85,0,0
Colombia,COL,70.69,79.47,77.76,54.83,92.33,88.57,86.47,50.53,82.90,72.22,71.26,84.68,74.52,61.08,42.52,41.21,7.1,54.52,15.3,10.726,29.4303,96.522,87.8753,84.4392,13.5457,99.0045,4.76882,10.8681,26.5,0.722766,4,15.1797,94.245,93.5812,98.1464,1.06381,1.05123,120.618,58.1365,0.76271,54,23.1878,213.614,66.093,2.24373,26.9571,77.21,268.001,14.083,29,0.815296,3.87603,0.522266,3.43684,46.2,17,86.2,37,48.62229919,7,1.81813,1.68077,1.67289,0.9,10.81,12,10
Comoros,COM,53.61,65.52,52.99,42.32,71.63,69.95,62.49,58.01,65.61,31.54,47.77,67.04,68.08,39.94,50.46,10.78,,163.586,73.3,28.824,335.506,83.7012,62.7144,34.166,0.61791,77.8442,,104.467,7.6,0.655138,,19.5393,49.1961,86.6188,61.0906,1.06834,2.01509,57.1127,7.93832,0.01695,53.3333,17.693,438.121,45.294,2.08297,50.8829,26.32,365.829,9.48652,24,0.745671,2.12012,0.554043,4.61454,59.4,,36,27,8.004699707,5.1,1.57555,2.75588,3.10371,,6.03,0,0
Cabo Verde,CPV,67.76,75.95,69.69,57.64,88.62,71.59,74.05,69.54,80.86,65.10,64.17,68.63,90.64,68.92,59.93,11.04,13.7,25.136,21.4,10.663,131.654,86.4594,89.9162,65.207,46.5441,92.6116,3.46318,39.202,8.84,0.947723,,12.0479,86.7903,86.4102,84.5576,1.0958,2.82809,111.564,50.3228,0.47458,59.5,20.1849,373.931,62.564,3.00388,79.5847,82.2,207.897,2.25354,37,0.892839,3.90706,0.865352,4.38214,39.1,,79.7,55,,3.8,1.56483,2.84076,3.56295,,6.14,0,0
Costa Rica,CRI,80.99,88.41,86.06,68.50,95.49,98.91,93.58,65.66,93.77,81.83,81.99,86.63,95.03,76.72,65.89,36.36,5.6,28.643,8.8,6.13,18.0532,99.6978,99.1788,97.1486,0.43578,100,5.86384,3.01438,11.77,0.968955,3,15.8728,97.4066,96.966,126.054,1.0541,3.26956,171.509,66.0287,0.64407,93.1667,25.1136,194.094,69.381,3.57784,18.6417,64.78,202.969,16.0466,38,0.951679,3.7839,0.945607,4.78609,14,13,88.9,59,58.35739899,3.9,3.04595,1.95309,3.09117,0.77,10.92,2,20
Cuba,CUB,69.49,87.31,72.45,48.72,95.58,91.14,90.91,71.60,94.47,40.68,74.53,80.11,31.39,69.23,62.09,32.15,2.5,41.98,5.5,8.776,40.4344,95.1755,79.2166,90.8185,0.88936,100,,2.21118,4.72,0.883041,3,8.79753,99.7525,95.4616,100.39,1.0365,3.34662,34.75,38.7659,0.32203,55.5,22.5807,328.582,67.826,3.73899,31.8651,72.52,,10.3271,1,0.117086,2.67964,0.182796,2.41366,10.1,23,87.7,47,,3.7,2.42221,2.72001,2.59672,0.76,13.19,1,0
